EN,FT,Data Science Consultant,54000,EUR,64369,L
SE,FT,Data Scientist,60000,EUR,68428,L
EX,FT,Head of Data Science,85000,USD,85000,M
EX,FT,Head of Data,230000,USD,230000,L
EN,FT,Machine Learning Engineer,125000,USD,125000,S
SE,FT,Data Analytics Manager,120000,USD,120000,M
MI,FT,Research Scientist,450000,USD,450000,M
MI,FT,Data Analyst,41000,EUR,46759,L
MI,FT,Data Engineer,65000,EUR,74130,L
SE,FT,Data Science Engineer,159500,CAD,127543,L
SE,FT,Manager Data Science,144000,USD,144000,L
EN,FT,Data Scientist,13400,USD,13400,L
MI,FT,Data Scientist,95000,CAD,75966,L
MI,FT,Data Scientist,150000,USD,150000,M
MI,FT,Data Science Consultant,103000,USD,103000,L
SE,FT,Data Engineering Manager,153000,USD,153000,L
MI,FT,Data Engineer,90000,USD,90000,L
EN,FT,Data Analyst,90000,USD,90000,S
EN,FT,Data Analyst,60000,USD,60000,S
MI,FT,Data Scientist,50000,USD,50000,L
EN,PT,AI Scientist,12000,USD,12000,M
MI,PT,3D Computer Vision Researcher,400000,INR,5423,M
MI,CT,ML Engineer,270000,USD,270000,L
MI,FT,Applied Data Scientist,68000,CAD,54376,L
MI,FT,Machine Learning Engineer,40000,EUR,47681,S
EX,FT,Director of Data Science,130000,EUR,154963,L
MI,FT,Data Engineer,110000,PLN,28801,L
MI,FT,Data Analytics Engineer,110000,USD,110000,L
EN,FT,Research Scientist,60000,GBP,83000,L
EN,FT,Machine Learning Engineer,250000,USD,250000,L
EN,FT,Data Analyst,50000,EUR,59601,M
SE,FT,Data Analyst,80000,USD,80000,S
EN,FT,Data Analyst,10000,USD,10000,S
EN,FT,Machine Learning Engineer,138000,USD,138000,S
MI,FT,Data Engineer,140000,USD,140000,L
SE,FT,Data Analytics Engineer,67000,EUR,79866,L
SE,FT,Lead Data Analyst,170000,USD,170000,L
EN,FT,Data Analyst,80000,USD,80000,M
MI,FT,Data Scientist,45760,USD,45760,S
MI,FT,BI Data Analyst,100000,USD,100000,M
SE,FT,Data Scientist,45000,EUR,53641,L
EX,FT,Head of Data,235000,USD,235000,L
EX,FT,BI Data Analyst,150000,USD,150000,L
EX,FT,Data Engineering Manager,70000,EUR,79833,L
EN,FT,Machine Learning Scientist,225000,USD,225000,L
EN,FT,Data Science Consultant,65000,EUR,77481,S
MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,M
SE,FT,Marketing Data Analyst,75000,EUR,89402,L
SE,FT,Lead Data Engineer,75000,GBP,103750,S
SE,FT,Director of Data Engineering,82500,GBP,114125,M
SE,FT,Machine Learning Engineer,80000,EUR,95362,L
EN,FT,Data Engineer,2250000,INR,30509,L
SE,FT,Data Engineer,150000,USD,150000,M
SE,FT,Data Engineer,115000,USD,115000,S
MI,FT,Research Scientist,235000,CAD,187917,L
MI,FT,Data Analyst,37456,GBP,51814,L
MI,FT,Data Engineer,106000,USD,106000,L
MI,FT,Data Engineer,88000,GBP,112872,L
MI,FT,BI Data Analyst,11000000,HUF,36732,L
SE,FT,Data Engineer,150000,USD,150000,L
EN,PT,ML Engineer,14000,EUR,15966,S
MI,FT,Computer Vision Software Engineer,81000,EUR,96554,S
EN,FT,Computer Vision Software Engineer,70000,USD,70000,M
MI,FT,Financial Data Analyst,450000,USD,450000,L
MI,FT,Data Scientist,60000,GBP,76958,S
MI,FT,Cloud Data Engineer,120000,SGD,89514,L
EN,FT,Data Scientist,2200000,INR,29831,L
SE,FT,Lead Data Engineer,276000,USD,276000,L
SE,FT,Data Engineer,188000,USD,188000,L
SE,FT,Cloud Data Engineer,160000,USD,160000,S
MI,FT,Data Scientist,105000,USD,105000,L
MI,FT,Data Engineer,200000,USD,200000,L
SE,FT,Data Engineering Manager,174000,USD,174000,L
MI,FT,Data Analyst,93000,USD,93000,L
EN,FT,Data Scientist,2100000,INR,28475,M
SE,FT,Research Scientist,51400,EUR,61270,L
EN,FT,Data Scientist,90000,USD,90000,S
MI,FT,Data Engineer,61500,EUR,70139,L
EN,FT,Data Analyst,450000,INR,6072,S
SE,FT,Data Engineer,720000,MXN,33511,S
SE,FT,Principal Data Analyst,170000,USD,170000,M
SE,FT,Data Engineer,70000,GBP,96833,L
MI,FT,Data Engineer,108000,TRY,13105,M
EN,FT,Data Scientist,31000,EUR,36952,L
MI,FT,Data Engineer,52500,GBP,72625,L
EN,FT,Data Analyst,91000,USD,91000,L
SE,FT,Big Data Architect,125000,CAD,99956,M
SE,FT,Data Scientist,165000,USD,165000,L
MI,FT,Data Analyst,80000,USD,80000,L
SE,FT,Data Scientist,130000,CAD,103954,L
EN,FT,Data Engineer,1600000,INR,21695,M
EN,FT,Research Scientist,42000,USD,42000,L
MI,FT,Lead Data Scientist,115000,USD,115000,L
MI,FT,Research Scientist,80000,CAD,63971,M
SE,FT,Machine Learning Scientist,260000,USD,260000,S
MI,FT,Head of Data Science,110000,USD,110000,S
MI,FT,Data Architect,180000,USD,180000,L
SE,FT,Data Analyst,200000,USD,200000,L
SE,FT,Big Data Engineer,85000,GBP,109024,M
SE,FT,Director of Data Engineering,200000,USD,200000,L
SE,FT,ML Engineer,256000,USD,256000,S
MI,FT,Data Engineer,110000,USD,110000,L
MI,FT,Data Scientist,70000,EUR,79833,L
EN,FT,Data Engineer,72500,USD,72500,L
SE,FT,Machine Learning Engineer,185000,USD,185000,L
MI,PT,Data Engineer,59000,EUR,70329,L
EN,FT,Research Scientist,100000,USD,100000,L
MI,FT,Data Engineer,112000,USD,112000,L
SE,FT,Machine Learning Engineer,150000,USD,150000,L
SE,FT,Data Scientist,180000,TRY,21843,L
SE,FT,AI Scientist,55000,USD,55000,L
EN,FT,Data Scientist,58000,USD,58000,L
EN,FT,Data Scientist,100000,USD,100000,M
SE,FT,Data Scientist,65720,EUR,78340,M
EN,FT,Machine Learning Engineer,85000,USD,85000,S
EN,FT,Data Science Consultant,65000,EUR,77481,L
SE,CT,Staff Data Scientist,105000,USD,105000,M
EN,FT,Data Analyst,72000,USD,72000,L
EN,FT,Data Engineer,55000,EUR,65561,M
MI,FT,Data Engineer,250000,TRY,30337,M
MI,FT,Data Engineer,111775,USD,111775,M
MI,FT,Data Engineer,93150,USD,93150,M
SE,FT,Lead Data Engineer,160000,USD,160000,S
MI,FT,Data Scientist,21600,EUR,25747,S
SE,FT,Machine Learning Engineer,4900000,INR,66442,L
MI,FT,Data Scientist,1250000,INR,16949,S
SE,FT,Data Analyst,54000,EUR,64369,L
SE,FT,Lead Data Scientist,190000,USD,190000,S
EX,FT,Director of Data Science,120000,EUR,143043,L
EN,FT,Big Data Engineer,1200000,INR,16271,L
SE,FT,Data Analyst,90000,CAD,71968,M
MI,FT,Data Scientist,11000000,HUF,35735,L
SE,FT,Data Scientist,135000,USD,135000,L
EN,FT,Machine Learning Engineer,21000,EUR,25032,M
SE,FT,Data Science Manager,4000000,INR,54238,L
SE,FT,Machine Learning Engineer,1799997,INR,24407,L
EN,FT,BI Data Analyst,9272,USD,9272,S
MI,FT,Data Scientist,147000,USD,147000,L
SE,FT,Research Scientist,120500,CAD,96357,L
SE,FT,Data Science Manager,174000,USD,174000,L
MI,FT,Business Data Analyst,135000,USD,135000,L
EN,FT,Machine Learning Engineer,21844,USD,21844,M
SE,FT,Lead Data Engineer,125000,USD,125000,S
EN,FT,Data Scientist,45000,EUR,51321,S
MI,FT,Data Scientist,3000000,INR,40481,L
EX,FT,Data Science Consultant,59000,EUR,70329,S
SE,FT,Data Analytics Engineer,50000,USD,50000,M
MI,FT,Data Engineer,4000,USD,4000,M
EN,FT,Data Scientist,35000,EUR,39916,M
MI,FT,Lead Data Analyst,87000,USD,87000,L
MI,FT,Data Engineer,22000,EUR,26224,L
MI,FT,Data Scientist,76760,EUR,91500,L
MI,FT,Big Data Engineer,1672000,INR,22671,L
MI,FT,Data Scientist,420000,INR,5695,S
EN,FT,Machine Learning Engineer,81000,USD,81000,S
MI,FT,Data Scientist,30400000,CLP,40798,L
MI,FT,Data Scientist,58000,MXN,2876,S
EN,FT,Data Science Consultant,90000,USD,90000,S
MI,FT,Data Scientist,52000,EUR,61985,M
SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,M
MI,FT,Data Scientist,32000,EUR,38144,L
MI,FT,Data Analyst,85000,USD,85000,L
EX,CT,Principal Data Scientist,416000,USD,416000,S
SE,FT,Machine Learning Scientist,225000,USD,225000,L
MI,FT,Data Scientist,40900,GBP,56578,L
MI,FT,Data Scientist,2500000,INR,33899,M
MI,FT,Data Scientist,85000,GBP,117583,L
MI,FT,Machine Learning Engineer,180000,PLN,47129,L
MI,FT,Data Analyst,8000,USD,8000,L
EN,FT,Data Engineer,4450000,JPY,41689,S
SE,FT,Big Data Engineer,100000,EUR,114047,S
MI,FT,Machine Learning Engineer,75000,EUR,89402,M
EN,FT,Data Science Consultant,423000,INR,5707,M
MI,FT,Lead Data Engineer,56000,USD,56000,M
EN,PT,Computer Vision Engineer,180000,DKK,28850,S
MI,FT,Data Scientist,75000,EUR,89402,L
MI,FT,Machine Learning Engineer,299000,CNY,43331,M
MI,FT,Product Data Analyst,450000,INR,6072,L
SE,FT,Data Engineer,42000,EUR,47899,L
MI,FT,BI Data Analyst,98000,USD,98000,M
MI,FT,Data Engineer,48000,GBP,66400,S
MI,FT,Research Scientist,48000,EUR,57217,S
MI,FT,Machine Learning Engineer,21000,EUR,25032,L
SE,FT,Data Analytics Manager,120000,USD,120000,L
MI,FL,Data Engineer,20000,USD,20000,L
EX,FT,Director of Data Science,325000,USD,325000,L
SE,FT,Machine Learning Engineer,200000,USD,200000,L
EN,FT,AI Scientist,300000,DKK,45896,S
MI,FT,Data Scientist,160000,USD,160000,L
SE,FT,Research Scientist,50000,USD,50000,S
MI,FT,Data Science Engineer,34000,EUR,40529,M
EX,FT,Principal Data Engineer,600000,USD,600000,L
MI,FT,Data Scientist,69600,BRL,13000,S
SE,FT,Data Engineer,165000,USD,165000,M
EN,FT,Big Data Engineer,435000,INR,5898,L
MI,FT,Data Scientist,37000,EUR,42197,S
SE,FT,Principal Data Engineer,185000,USD,185000,L
EN,FT,Data Scientist,55000,EUR,62726,S
MI,FT,Data Scientist,76760,EUR,91500,L
EN,PT,Data Scientist,19000,EUR,21669,S
MI,FT,Data Engineer,110000,USD,110000,L
SE,FT,Data Analytics Manager,140000,USD,140000,L
SE,FT,Data Scientist,120000,USD,120000,L
SE,FT,Data Scientist,110000,CAD,87961,S
SE,FT,Finance Data Analyst,45000,GBP,62250,L
MI,FL,Machine Learning Scientist,12000,USD,12000,M
SE,FT,Data Engineer,65000,EUR,77481,S
MI,FT,Machine Learning Engineer,74000,USD,74000,S
SE,FT,Data Science Manager,152000,USD,152000,L
MI,FT,Big Data Engineer,18000,USD,18000,S
SE,FL,Computer Vision Engineer,60000,USD,60000,S
MI,FT,Data Scientist,130000,USD,130000,L
SE,FT,Computer Vision Engineer,102000,BRL,19052,M
EN,FT,Business Data Analyst,50000,EUR,59601,L
SE,FT,Principal Data Scientist,147000,EUR,175228,M
SE,FT,Principal Data Scientist,130000,EUR,148261,M
MI,FT,Data Scientist,34000,EUR,38776,M
MI,FT,Data Scientist,39600,EUR,47204,M
EN,FT,Data Scientist,4000,USD,4000,M
EN,FT,AI Scientist,1335000,INR,18102,S
SE,FT,Data Scientist,80000,EUR,91237,S
MI,FT,Data Scientist,55000,EUR,62726,S
MI,FT,Data Scientist,115000,USD,115000,L
SE,FT,Principal Data Scientist,235000,USD,235000,L
MI,FT,Lead Data Analyst,1450000,INR,19661,L
EN,PT,AI Scientist,12000,USD,12000,S
MI,FT,Data Analyst,75000,USD,75000,L
MI,FT,Data Analyst,62000,USD,62000,L
MI,FT,Data Scientist,73000,USD,73000,L
MI,FT,Data Engineer,38400,EUR,45773,L
SE,FT,Data Science Manager,190200,USD,190200,M
MI,FT,Data Scientist,118000,USD,118000,M
MI,FT,Data Scientist,138350,USD,138350,M
MI,FT,Data Engineer,130800,USD,130800,M
SE,FT,Machine Learning Engineer,40000,EUR,45618,S
SE,FT,Director of Data Science,168000,USD,168000,S
MI,FT,Data Scientist,160000,SGD,119353,M
MI,FT,Applied Machine Learning Scientist,423000,USD,423000,L
MI,FT,Data Engineer,24000,EUR,28608,L
SE,FT,Data Specialist,165000,USD,165000,L
SE,FT,Data Scientist,412000,USD,412000,L
MI,FT,Principal Data Scientist,151000,USD,151000,L
EN,FT,Data Scientist,105000,USD,105000,S
EN,CT,Business Data Analyst,100000,USD,100000,L
SE,FT,Data Science Manager,7000000,INR,94917,L